Row.names,RNA.para,RNA.tumor,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AGR2,0.192166496399225,3.57636171043698,0,1.94061535084597,0.544,0.066,0
ALDH1A1,2.42250024867182,0.687664063388934,0,-1.02002288818304,0.253,0.57,0
ANXA1,3.9311746017306,22.2851695831178,0,2.2394081477509,0.939,0.628,0
APOC1,0.297748843801692,11.3539606943556,0,3.25089053819136,0.711,0.079,0
APOE,0.33816191985752,27.0161854102448,0,4.38793593643014,0.806,0.073,0
ARHGAP36,0.0295333366890355,2.23552643836785,0,1.65200992016995,0.304,0.006,0
ARMCX3,0.987899351972196,7.20387649889215,0,2.04506105905549,0.667,0.328,0
C2orf40,5.49850964623084,20.9379883708411,0,1.75525044550807,0.854,0.773,0
C4orf48,0.981806402160842,4.84857060908558,0,1.56126803700063,0.769,0.268,0
CALR,13.0405664130654,5.94429699670428,0,-1.01570058082031,0.815,0.915,0
CAMK2N1,0.117904051796928,2.79027845576352,0,1.76150747208917,0.571,0.045,0
CCDC80,0.651025684218408,3.35728199762937,0,1.40006592187932,0.484,0.21,0
CCND1,0.886619694938382,3.62887572834788,0,1.29485819746749,0.68,0.286,0
CD24,23.6786652656539,8.87994355121374,0,-1.32068966494692,0.854,0.985,0
CD55,0.459080556725771,2.7335223285628,0,1.35547782166728,0.503,0.171,0
CHCHD10,3.61321433857743,1.07330293132771,0,-1.1538413995322,0.391,0.699,0
CHI3L1,0.0358346592924128,1.28380435334553,3.30429533227145e-206,1.1406453273127,0.15,0.012,7.85431000480925e-202
CITED1,0.0397723349249622,1.79080108296471,0,1.4244116233296,0.366,0.014,0
CITED2,4.34312830410114,1.41657938896361,0,-1.14471827023251,0.324,0.662,0
CLDN1,0.183102297215963,1.92765862406313,0,1.30717251776147,0.432,0.049,0
CLDN16,0.0492250288263393,1.37874573794364,0,1.18087694357424,0.309,0.017,0
CLU,23.7047813775592,91.1096519790354,0,1.89856205239404,0.987,0.976,0
CRABP1,2.7294819092011,0.2229846640606,0,-1.60856891569674,0.066,0.51,0
CRYAB,2.92806440957699,0.705443216244862,0,-1.20367186576894,0.169,0.571,0
CST6,0.561746536411063,5.42948659712526,0,2.04154321072889,0.681,0.17,0
CTSC,0.433443395345954,3.29682018879552,0,1.58378446947228,0.564,0.149,0
CTSH,0.235019981602545,5.97156175507514,0,2.49694749829385,0.591,0.1,0
CXCL14,0.129232529170961,3.43194182131196,1.15598189252666e-227,1.97259634965293,0.165,0.014,2.74776895853587e-223
DAPK2,0.995444043871842,3.09175672901012,0,1.03601055030864,0.616,0.278,0
DAPL1,0.412749451962017,2.14075452809056,0,1.15260556116487,0.552,0.158,0
DHRS3,1.02497675089249,4.95875431637932,0,1.55710542108752,0.743,0.338,0
DIO2,6.31303868035645,1.66671940082237,0,-1.45540496405832,0.387,0.696,0
DPP4,0.0493883286930413,1.22916802409141,0,1.08695671467721,0.392,0.022,0
DSP,1.73401131606735,5.22343304713912,0,1.18669142296195,0.722,0.452,0
DUSP6,0.320160498131367,4.6078642173089,0,2.0867380824521,0.713,0.094,0
ENPP1,1.7991884232173,0.367894857467152,0,-1.03305126058148,0.121,0.445,0
ENTPD1,0.0539126505260545,1.36994703458171,0,1.16909951728248,0.378,0.022,0
EPS8,0.207355420178755,1.61139627173255,0,1.11297096115177,0.513,0.088,0
FCGBP,3.24624366378165,0.633759788105453,0,-1.37799128087167,0.221,0.64,0
FHL1,2.58983093463878,0.520021458357896,0,-1.2398242104691,0.17,0.585,0
FN1,2.26213298017881,34.8339103805266,0,3.45743798691194,0.834,0.136,0
FRMD3,0.173463675357768,1.58763389206557,0,1.14086033014645,0.458,0.069,0
GADD45B,4.09562974603415,1.3450018463101,0,-1.11967139499085,0.323,0.66,0
GCSH,6.9884356607949,2.24145457948182,0,-1.30127165691241,0.625,0.857,0
GGCT,0.38150239922336,2.52857828917082,0,1.35284895202033,0.537,0.155,0
GLUL,5.75208265585157,2.31937606864143,0,-1.02442047617398,0.597,0.816,0
GPX3,14.5479378167006,6.68811857741321,0,-1.01602075005573,0.681,0.944,0
GSN,1.13244590241891,4.63144594738822,0,1.40099625811338,0.776,0.336,0
ID1,8.2422689996784,3.04486025889552,0,-1.19215721874404,0.476,0.802,0
ID3,10.0658437429757,2.35201419922634,0,-1.72301329177053,0.409,0.807,0
ID4,8.73853699223081,2.35052109871102,0,-1.5393195623762,0.546,0.849,0
IGFBP5,5.24794853326059,29.1461762999785,0,2.27052054964047,0.821,0.671,0
IGFBP6,0.360487466567399,6.44203662048862,0,2.45157382375717,0.618,0.055,0
IGSF1,0.0578625725021995,2.69363261799817,0,1.80388815947853,0.564,0.026,0
IYD,10.3729733446072,3.03706040228444,0,-1.494232403412,0.527,0.865,0
KCNJ2,0.0422865374983113,1.21429017602934,6.99398729565814e-300,1.08709234842305,0.204,0.014,1.66247078017794e-295
KRT19,0.929677554544813,3.331078787099,0,1.16636662082729,0.557,0.184,0
LCN12,1.3973274659923,4.23885670644577,0,1.12782501264631,0.716,0.401,0
LGALS1,1.15434798453408,6.0362464912902,0,1.70755472132698,0.623,0.27,0
LGALS3,0.936539661784059,8.44952104383398,0,2.28676015794583,0.84,0.284,0
LMO3,1.29953269696977,3.66519840170676,0,1.02059772587181,0.72,0.384,0
LONRF2,0.12712424450451,1.66141583926583,0,1.23954739070324,0.394,0.05,0
LRRK2,0.091601988644608,2.57314054617922,0,1.71074573413313,0.547,0.031,0
LY6E,0.505914272406752,2.01891046116493,0,1.0033883244778,0.573,0.15,0
MATN2,2.16051320103091,0.307071998506081,0,-1.27382022836643,0.1,0.526,0
MDK,0.8193978336799,5.62366020820425,0,1.86416762443722,0.732,0.206,0
MET,0.298592689229727,2.27908772359379,0,1.33634550539,0.605,0.113,0
MPZL2,0.534928911736178,2.79532565741329,0,1.3060518406358,0.657,0.19,0
MT1E,21.2453809852228,3.34518790334908,0,-2.35601533560274,0.479,0.95,0
MT1F,18.1977530855197,1.76573829829051,0,-2.79520091077337,0.264,0.913,0
MT1G,30.6086271535465,1.96720611025716,0,-3.41314132757626,0.097,0.892,0
MT1H,2.74403403328206,0.16898778494202,0,-1.67933369423182,0.025,0.361,0
MT1X,32.2588794392548,4.7327555027652,0,-2.53643890632831,0.552,0.954,0
MT2A,18.1222690831952,5.52476259434793,0,-1.55125641147914,0.597,0.918,0
NELL2,0.298258579098417,2.20176279927161,0,1.30228867157831,0.554,0.107,0
NGFRAP1,9.20111476648891,3.64309041547707,0,-1.13556953685227,0.745,0.907,0
NMB,1.04622518253938,4.71220091829928,0,1.48108180573737,0.607,0.318,0
NPC2,8.04114722178232,35.5429610446628,0,2.01501578759459,0.962,0.872,0
NRP2,0.140630167568357,1.40357728431826,0,1.07535209750134,0.399,0.049,0
NUPR1,4.44865347818737,0.931700880551317,0,-1.49602802829824,0.193,0.701,0
OTOS,2.27771586918451,0.443536162994989,0,-1.18308354900077,0.142,0.5,0
PDE5A,0.17529237894339,1.96017822273368,0,1.332664335985,0.528,0.069,0
PDLIM4,0.233591365117196,1.91346740491499,0,1.23987259845785,0.528,0.099,0
PKHD1L1,2.01147420048722,0.262680962214863,0,-1.25397973553298,0.062,0.447,0
PRDX1,26.0488211861351,11.2570578431272,0,-1.14195300209332,0.911,0.968,0
PROS1,0.0733186938803505,1.82554939522481,0,1.39645289986019,0.522,0.032,0
PRSS23,0.378101928063579,6.76337538778311,0,2.49400145133121,0.683,0.099,0
PTGDS,0.0511842683494084,1.30728044100207,3.31995015464676e-150,1.13417777860096,0.112,0.009,7.89152151759534e-146
S100A1,1.3715454466017,6.01338967636889,0,1.5642843734742,0.745,0.368,0
S100A10,1.1063630921939,4.99723538889895,0,1.50954345133341,0.586,0.224,0
S100A11,4.64822851021571,10.9254413038423,0,1.07817229252429,0.899,0.755,0
S100A13,6.03202063251611,13.1897435313206,0,1.01283730544917,0.935,0.843,0
S100A2,0.835557396730872,4.49172283222349,6.21911866960606e-06,1.58104058705202,0.202,0.174,0.147828450776536
S100A4,1.06228773987361,14.681433202905,0,2.92673987712523,0.779,0.24,0
S100A6,30.3013510761231,83.9402970058528,0,1.44022422300187,0.988,0.984,0
SDC4,0.67825563142028,4.49750043154596,0,1.71181332891598,0.748,0.209,0
SELENBP1,3.70660771614615,1.0736289308069,0,-1.1825298614197,0.373,0.712,0
SEMA3D,1.35861669733766,0.0733640000232906,0,-1.13580157597272,0.027,0.381,0
SERPINA1,0.413683128137205,6.77356547564443,0,2.45911768500288,0.818,0.123,0
SFTPB,0.234832045589012,3.78566904626314,0,1.95440580204019,0.27,0.025,0
SLC26A4,4.45786893937752,1.29540716666758,0,-1.24958766517518,0.246,0.682,0
SLC26A4-AS1,3.53543123163236,1.02478591532861,0,-1.16347035259661,0.217,0.63,0
SLC26A7,16.2087298435633,3.67831917926192,0,-1.87907841933753,0.533,0.943,0
SLC34A2,0.123297285472422,4.33188373275554,0,2.24690552757278,0.562,0.037,0
SLPI,0.811435297350833,3.50239316855399,0,1.31355876960494,0.408,0.105,0
SOD3,2.02230383936903,0.471926522432258,0,-1.03794305050564,0.157,0.492,0
SORBS2,6.07123617489917,1.14217563452114,0,-1.72288567538512,0.314,0.798,0
TACSTD2,0.461840505657669,6.59584338124818,0,2.37742424445091,0.61,0.077,0
TESC,0.148512355222327,3.63970747050866,0,2.01426747084412,0.556,0.063,0
TFF3,154.763610114175,9.53853465966311,0,-3.88561204156383,0.293,0.992,0
TG,104.532125001225,42.9153140098825,0,-1.26488621145751,0.948,0.996,0
TIMP1,0.618014715258207,15.259531474646,0,3.32898905240778,0.901,0.154,0
TM4SF1,0.509950664353405,4.17455164229227,0,1.7769324511326,0.425,0.078,0
TMSB10,13.1184799663675,34.6825140344622,0,1.337632492315,0.979,0.904,0
TMSB4X,10.1531097691157,27.5389111220669,0,1.35548426495312,0.921,0.604,0
TNFRSF11B,1.72830682838598,0.222017076443337,0,-1.15874145506619,0.071,0.436,0
TNFRSF12A,0.185213487485868,2.15733638986375,0,1.41356102780146,0.569,0.061,0
TPD52L1,0.616731678247412,2.86599898064078,0,1.2577609961384,0.616,0.237,0
TPO,20.8219597980674,1.55988270527571,0,-3.09163106173754,0.144,0.942,0
TSC22D1,3.56977656542061,18.0231772121615,0,2.05756268928552,0.854,0.668,0
TXNL1,8.47477145557511,3.65840034905108,0,-1.02425651194347,0.716,0.862,0
ZCCHC12,0.0520513974663485,7.46319519610106,0,3.00799725298554,0.593,0.011,0
ZFP36L1,1.95567933621462,6.57368489998061,0,1.35750564079485,0.796,0.403,0
ZFP36L2,7.29749907940178,2.96430307903901,0,-1.06560930052514,0.594,0.844,0
