gene	avg_log2FC
ENSMUSG00000040026	3.87113174142575
ENSMUSG00000037095	1.65810686995282
ENSMUSG00000051439	1.02251234471959
ENSMUSG00000021125	1.07954552639297
ENSMUSG00000040809	1.65587263635743
ENSMUSG00000049130	1.0607179113892
ENSMUSG00000047945	1.09347442591252
ENSMUSG00000027398	1.47138746307788
ENSMUSG00000024730	1.01324695177414
ENSMUSG00000071561	2.20875027512695
ENSMUSG00000027399	1.24054150243851
ENSMUSG00000045551	1.31545965088715
ENSMUSG00000025491	1.37645594002725
ENSMUSG00000022902	1.51162882580302
ENSMUSG00000044103	1.12115091666349
ENSMUSG00000002985	1.15606927740991
ENSMUSG00000033508	1.32904480334686
ENSMUSG00000079597	1.31077660916057
ENSMUSG00000054905	1.00549986970165
ENSMUSG00000059657	1.07122762023492
ENSMUSG00000045382	-1.01790505064755
ENSMUSG00000073421	-1.28297355864238
ENSMUSG00000024610	-1.05568263125152
ENSMUSG00000060586	-1.06703223353861
